Source, https://coinmarketcap.com/currencies/ethereum/historical-data/,,,,,,,,,
Date,Open,High,Low,Close,Volume,Market Cap,,,,
"Nov 30, 2021",3940.02,4210.64,3860.57,4102.76,25358426778.00,486403237280.00,,,Minimum,3497.82
"Nov 29, 2021",3804.89,3950.03,3793.88,3936.09,16900845316.00,466591335108.00,,,Maximum,4301.99
"Nov 28, 2021",3623.36,3796.75,3524.71,3793.69,14092864184.00,449661287872.00,,,Mean Hi,3995.82
"Nov 27, 2021",3571.55,3699.37,3563.17,3619.18,14589831843.00,428929231608.00,,,Median Hi,3965.89
"Nov 26, 2021",4033.25,4058.79,3508.20,3595.07,23440102633.00,426024238686.00,,,Mean Lo,3766.21
"Nov 25, 2021",3812.22,4061.34,3792.92,3815.21,16694532299.00,452026824418.00,,,Median Lo,3781.56
"Nov 24, 2021",3858.86,3891.62,3713.17,3769.90,19416875790.00,446597258313.00,,,,
"Nov 23, 2021",3638.04,3901.17,3620.32,3861.39,19689184311.00,457430298778.00,,,,
"Nov 22, 2021",3782.18,3813.67,3575.69,3624.34,17509986494.00,429301263929.00,,,,
"Nov 21, 2021",3909.06,3918.18,3770.19,3782.84,12487555503.00,448024912696.00,,,,
"Nov 20, 2021",3808.20,3928.72,3729.25,3907.05,13686649699.00,462684120561.00,,,,
"Nov 19, 2021",3514.43,3792.35,3503.16,3780.56,18141753020.00,447654193841.00,,,,
"Nov 18, 2021",3788.11,3837.36,3497.82,3534.42,18891268217.00,418463046442.00,,,,
"Nov 17, 2021",3723.01,3799.34,3628.67,3788.11,19599199462.00,448448924205.00,,,,
"Nov 16, 2021",4019.49,4301.99,3644.72,3708.07,24112213169.00,438923155108.00,,,,
"Nov 15, 2021",4043.38,4163.58,3973.05,3982.57,14222652657.00,471364067182.00,,,,
"Nov 14, 2021",4062.12,4098.13,3947.04,4042.66,10637123922.00,478422372860.00,,,,
"Nov 13, 2021",4077.93,4108.86,4004.06,4064.60,12633370443.00,480964594842.00,,,,
"Nov 12, 2021",4127.87,4201.64,3941.43,4077.90,16003694239.00,482485313546.00,,,,
"Nov 11, 2021",4037.36,4161.56,3989.92,4120.04,15619333987.00,487415413847.00,,,,
"Nov 10, 2021",4082.31,4191.10,3868.19,3998.49,19619264803.00,472982651939.00,,,,
"Nov 09, 2021",4150.26,4174.01,4070.86,4085.55,17976307499.00,483226200643.00,,,,
"Nov 08, 2021",3993.77,4169.02,3993.77,4160.14,16677346350.00,491992861679.00,,,,
"Nov 07, 2021",3916.36,4017.59,3905.11,3999.96,11722606735.00,472996056845.00,,,,
"Nov 06, 2021",3880.57,3922.43,3752.73,3914.28,12491078550.00,462811386286.00,,,,
"Nov 05, 2021",3927.86,3956.83,3850.00,3883.55,13059319692.00,459126737157.00,,,,
"Nov 04, 2021",3964.59,3966.17,3811.28,3906.60,15855359747.00,461798413263.00,,,,
"Nov 03, 2021",3964.09,4029.06,3854.65,3979.21,18328029145.00,470330073749.00,,,,
"Nov 02, 2021",3726.42,3965.61,3697.27,3952.55,17926852223.00,467124818840.00,,,,
"Nov 01, 2021",3710.63,3787.74,3600.52,3742.14,15562831800.00,442208186840.00,,,,
